"","player_name","batter","expected_hr_2021"
"1","Mike Trout",545361,38.6855045947389
"2","Teoscar Hernandez",606192,36.4388540428584
"3","Bobby Dalbec",666915,36.3554369917354
"4","Miguel Sano",593934,36.0503540349905
"5","Fernando Tatis Jr.",665487,36.0496284244045
"6","Joey Gallo",608336,35.8700717568043
"7","Brandon Lowe",664040,35.5864018124187
"8","Jorge Soler",624585,35.3283775181439
"9","Bryce Harper",547180,34.8030282739612
"10","Edwin Rios",621458,34.7049171428578
"11","Nelson Cruz",443558,34.6853846781786
"12","Ronald Acuna Jr.",660670,34.4944634884037
"13","Pete Alonso",624413,34.0829859214931
"14","Gary Sanchez",596142,33.3667227772052
"15","Nick Castellanos",592206,33.2691344998887
"16","Eloy Jimenez",650391,33.182197606174
"17","Juan Soto",665742,33.1062858382456
"18","Freddie Freeman",518692,32.5663155721687
"19","Luke Voit",572228,32.5646952918621
"20","Corey Seager",608369,32.545601452718
"21","J.D. Martinez",502110,32.2817604624722
"22","C.J. Cron",543068,32.1354994749747
"23","Mookie Betts",605141,31.8135147888451
"24","Max Muncy",571970,31.5931634183425
"25","Jose Abreu",547989,31.3716875733874
"26","Mitch Moreland",519048,31.3191237350645
"27","Eugenio Suarez",553993,30.9946566429205
"28","Franmil Reyes",614177,30.8210766576669
"29","Salvador Perez",521692,30.7586172865868
"30","Matt Olson",621566,30.5879794716742
"31","Christian Yelich",592885,30.1668743688289
"32","Aaron Judge",592450,30.0182571024351
"33","Cody Bellinger",641355,29.9535841429026
"34","Paul Goldschmidt",502671,29.6048507481215
"35","Monte Harrison",656509,29.4470769007851
"36","Brandon Belt",474832,29.3341777772443
"37","Adam Duvall",594807,29.1968952988577
"38","Marcell Ozuna",542303,29.1792127202765
"39","Matt Chapman",656305,29.1766285644562
"40","Jason Castro",488771,28.9836104795989
"41","Kole Calhoun",594777,28.7654796816169
"42","Edwin Encarnacion",429665,28.7254855150399
"43","Jared Walsh",665120,28.5908310908946
"44","Kyle Schwarber",656941,28.5825838953293
"45","Rhys Hoskins",656555,28.4735428396046
"46","George Springer",543807,28.3780810253731
"47","Trevor Story",596115,28.360239316767
"48","Bo Bichette",666182,28.1205801141173
"49","Khris Davis",501981,28.1144558424788
"50","Mike Yastrzemski",573262,27.9016372517847
"51","Randal Grichuk",545341,27.8659338261877
"52","Rougned Odor",596059,27.7869542089303
"53","Wil Myers",571976,27.6964641611886
"54","Lourdes Gurriel Jr.",666971,27.651334527355
"55","Jose Osuna",591741,27.5760142721417
"56","Austin Riley",663586,27.4320713267836
"57","Keston Hiura",669374,27.3312870585995
"58","Matt Adams",571431,27.2841624969902
"59","Dominic Smith",642086,27.2632985506721
"60","Hunter Renfroe",592669,26.9802598652459
"61","Anthony Rendon",543685,26.8929587559731
"62","Michael Conforto",624424,26.8709632042845
"63","Giancarlo Stanton",519317,26.5851008536523
"64","Nolan Arenado",571448,26.5516478277087
"65","Xander Bogaerts",593428,26.5502027251379
"66","Rafael Devers",646240,26.4915911248958
"67","Justin Turner",457759,26.491011920213
"68","Josh Donaldson",518626,26.4847199331759
"69","Jazz Chisholm",665862,26.47669952341
"70","Kyle Lewis",641786,26.3127671596853
"71","Jay Bruce",457803,26.3103178515918
"72","Sean Murphy",669221,26.2395243567389
"73","AJ Pollock",572041,26.219542238578
"74","Christian Walker",572233,26.2174647643273
"75","Byron Buxton",621439,26.2008373262708
"76","Rowdy Tellez",642133,26.1981154272398
"77","J.T. Realmuto",592663,26.1306540557275
"78","Javier Baez",595879,26.0229551758982
"79","Evan Longoria",446334,25.94814790043
